Assessor,Sample,Replicate,Bread-od,Yeast-od,Off-flav,Colour,Moisture,Tough,Salt-t,Sweet-t,Yeast-t,Other-t
AS1,Bread1,1,4,0,0,2,3,0,0,1,0,4
AS1,Bread1,2,4,0,0,1,0,0,0,1,0,5
AS1,Bread2,1,2,1,0,3,3,2,0,0,4,0
AS1,Bread2,2,2,3,0,2,5,0,0,1,3,0
AS1,Bread3,1,2,1,0,3,4,2,1,1,0,0
AS1,Bread3,2,1,2,0,1,2,1,0,0,4,0
AS1,Bread4,1,2,0,0,2,3,4,2,0,0,0
AS1,Bread4,2,2,0,0,3,3,4,1,0,0,0
AS1,Bread5,1,2,1,0,1,4,3,2,0,0,0
AS1,Bread5,2,1,3,0,1,3,1,1,0,0,0
AS2,Bread1,1,1,3,5,1,0,1,2,5,1,5
AS2,Bread1,2,2,2,5,0,1,2,1,5,3,5
AS2,Bread2,1,1,4,1,2,4,5,2,4,5,0
AS2,Bread2,2,1,5,0,1,4,3,1,2,5,0
AS2,Bread3,1,4,2,0,1,4,3,3,3,3,0
AS2,Bread3,2,2,3,4,0,2,3,2,4,2,0
AS2,Bread4,1,4,0,2,2,4,5,5,2,1,3
AS2,Bread4,2,2,0,3,3,3,5,4,2,1,3
AS2,Bread5,1,4,2,0,1,3,3,4,1,2,2
AS2,Bread5,2,4,3,0,0,3,3,4,0,2,0
AS3,Bread1,1,5,0,2,1,1,0,1,5,0,0
AS3,Bread1,2,1,0,4,0,2,1,1,5,0,0
AS3,Bread2,1,4,1,0,2,3,0,2,1,2,0
AS3,Bread2,2,3,1,0,2,3,1,1,1,1,0
AS3,Bread3,1,2,3,0,4,3,0,3,1,0,0
AS3,Bread3,2,4,1,0,3,3,3,2,2,0,0
AS3,Bread4,1,3,2,0,3,4,4,3,3,0,0
AS3,Bread4,2,5,0,0,4,5,5,3,2,0,0
AS3,Bread5,1,3,1,0,1,2,3,4,2,0,0
AS3,Bread5,2,4,0,0,1,4,4,4,2,0,0
AS4,Bread1,1,1,1,3,3,1,1,1,4,0,5
AS4,Bread1,2,1,1,3,1,1,1,1,3,0,3
AS4,Bread2,1,3,3,0,4,4,4,3,2,2,0
AS4,Bread2,2,3,3,0,2,3,2,0,2,1,0
AS4,Bread3,1,2,4,0,4,3,3,2,2,1,0
AS4,Bread3,2,4,2,0,2,2,2,2,1,0,0
AS4,Bread4,1,3,0,0,5,3,5,5,1,1,0
AS4,Bread4,2,2,1,0,5,3,5,3,2,0,0
AS4,Bread5,1,2,0,0,1,5,4,4,1,1,0
AS4,Bread5,2,3,3,0,3,3,2,4,2,0,0
AS5,Bread1,1,2,1,0,2,0,0,0,2,1,4
AS5,Bread1,2,3,0,1,1,0,0,0,2,0,2
AS5,Bread2,1,3,3,0,4,3,3,1,0,2,0
AS5,Bread2,2,3,3,0,2,2,2,1,0,0,0
AS5,Bread3,1,2,2,0,3,3,3,1,0,3,0
AS5,Bread3,2,2,3,0,2,2,1,1,0,2,0
AS5,Bread4,1,5,3,0,3,5,5,3,0,2,0
AS5,Bread4,2,2,0,2,2,5,4,3,0,1,2
AS5,Bread5,1,3,1,0,1,2,2,3,0,1,0
AS5,Bread5,2,3,2,0,1,2,2,4,0,1,0
AS6,Bread1,1,1,0,2,2,0,1,0,3,0,5
AS6,Bread1,2,3,0,4,3,0,0,0,4,1,5
AS6,Bread2,1,0,1,5,4,1,2,2,0,0,4
AS6,Bread2,2,1,1,4,3,5,2,0,0,0,0
AS6,Bread3,1,1,0,0,3,1,3,2,0,0,0
AS6,Bread3,2,2,0,0,3,2,2,0,0,0,0
AS6,Bread4,1,4,2,3,3,1,4,4,0,0,0
AS6,Bread4,2,3,0,3,4,3,4,3,0,0,0
AS6,Bread5,1,0,0,5,1,1,3,3,0,0,1
AS6,Bread5,2,1,1,5,3,1,4,5,0,0,0
AS7,Bread1,1,1,1,5,4,1,4,0,4,0,5
AS7,Bread1,2,4,0,5,1,1,0,0,4,1,5
AS7,Bread2,1,3,2,0,3,3,2,2,2,4,0
AS7,Bread2,2,2,1,3,3,4,2,2,0,2,0
AS7,Bread3,1,1,1,3,2,3,3,2,1,1,1
AS7,Bread3,2,4,2,0,4,4,1,2,0,2,0
AS7,Bread4,1,1,1,5,2,4,5,5,0,0,1
AS7,Bread4,2,2,0,4,5,5,5,5,0,0,4
AS7,Bread5,1,2,2,3,1,3,2,3,1,0,1
AS7,Bread5,2,3,0,1,0,4,3,3,0,1,3
AS8,Bread1,1,2,0,5,0,0,0,1,5,0,5
AS8,Bread1,2,2,0,5,3,1,0,1,4,0,5
AS8,Bread2,1,3,5,0,1,3,2,1,4,5,0
AS8,Bread2,2,2,5,0,3,4,4,2,2,4,0
AS8,Bread3,1,2,0,0,1,2,1,2,1,3,0
AS8,Bread3,2,4,3,0,4,3,3,3,1,2,0
AS8,Bread4,1,4,1,0,3,3,5,5,2,0,0
AS8,Bread4,2,4,1,0,4,5,4,4,1,0,0
AS8,Bread5,1,5,3,0,1,4,3,4,2,1,0
AS8,Bread5,2,4,1,0,1,3,3,5,1,1,0
